model,start_date,end_date,start_refusal_rate,end_refusal_rate,rate_change,p_value,significant_change
deepseek/deepseek-chat,2026-01-16,2026-01-24,54.12,97.32,43.2,0.04,True
qwen/qwen-2.5-72b-instruct,2026-01-16,2026-01-24,62.01,79.78,17.77,0.04,True
qwen/qwen-2.5-7b-instruct,2026-01-16,2026-01-23,76.92,92.93,16.0,0.04,True
openai/gpt-4o,2026-01-16,2026-01-24,48.39,87.16,38.77,0.04,True
openai/gpt-4o-mini,2026-01-16,2026-01-23,61.94,90.78,28.84,0.04,True
anthropic/claude-3.5-sonnet,2026-01-16,2026-01-24,34.93,75.19,40.26,0.04,True
anthropic/claude-3-haiku,2026-01-16,2026-01-23,58.06,93.43,35.37,0.04,True
mistralai/mistral-large,2026-01-16,2026-01-24,63.23,97.49,34.26,0.04,True
google/gemini-2.0-flash-001,2026-01-18,2026-01-24,52.26,75.68,23.42,0.04,True
google/gemini-2.5-pro,2026-01-18,2026-01-21,37.42,37.42,0.0,0.5,False
google/gemini-2.0-flash-lite-001,2026-01-18,2026-01-23,67.74,90.83,23.09,0.04,True
anthropic/claude-3.5-haiku,2026-01-18,2026-01-24,60.65,94.37,33.73,0.04,True
mistralai/mistral-small-24b-instruct-2501,2026-01-18,2026-01-24,56.13,86.56,30.43,0.04,True
mistralai/ministral-8b,2026-01-18,2026-01-23,57.42,87.77,30.35,0.04,True
qwen/qwen-plus,2026-01-18,2026-01-24,62.58,93.28,30.7,0.04,True
01-ai/yi-34b-chat,2026-01-19,2026-01-24,0.0,0.0,0.0,0.5,False
mistralai/mistral-medium,2026-01-19,2026-01-24,0.0,0.0,0.0,0.5,False
x-ai/grok-3-mini,2026-01-27,2026-02-27,76.34,79.16,2.83,0.04,True
openai/gpt-audio-mini,2026-02-12,2026-02-27,0.0,0.0,0.0,0.5,False
google/gemini-2.5-flash-lite-preview-09-2025,2026-02-12,2026-02-27,67.31,67.56,0.25,0.5,False
anthropic/claude-haiku-4.5,2026-02-12,2026-02-27,61.71,61.96,0.25,0.5,False
mistralai/ministral-14b-2512,2026-02-12,2026-02-27,83.55,85.52,1.97,0.5,False
qwen/qwen2.5-coder-7b-instruct,2026-02-12,2026-02-27,66.4,65.34,-1.06,0.5,False
